strain	ciprofloxacin_resistant
GCA_002137395.1	YES
GCA_002142955.1	YES
GCA_002143755.1	YES
GCA_002148725.1	YES
GCA_002143335.1	YES
GCA_002137345.1	YES
GCA_002143145.1	YES
GCA_002143045.1	YES
GCA_002144765.1	YES
GCA_000586655.1	YES
GCA_002138165.1	YES
GCA_002145115.1	YES
GCA_002996805.1	YES
GCA_002145065.1	YES
GCA_002143715.1	YES
GCA_002143575.1	YES
GCA_002143405.1	YES
GCA_001441485.1	YES
GCA_002138305.1	YES
GCA_001444255.1	YES
GCA_002143105.1	YES
GCA_003010655.1	YES
GCA_001706565.1	YES
GCA_002137525.1	YES
GCA_001706775.1	YES
GCA_002138065.1	YES
GCA_001444215.1	YES
GCA_002142945.1	YES
GCA_002143775.1	YES
GCA_003006035.1	YES
GCA_002137895.1	YES
GCA_002144685.1	YES
GCA_002143835.1	YES
GCA_002137695.1	YES
GCA_001443265.1	YES
GCA_002145435.1	YES
GCA_002138005.1	YES
GCA_002947415.1	YES
GCA_001874885.1	YES
GCA_002137555.1	YES
GCA_002137285.1	YES
GCA_002137475.1	YES
GCA_002761575.1	YES
GCA_002184605.1	YES
GCA_002143655.1	YES
GCA_002142935.1	YES
GCA_003010675.1	YES
GCA_002143195.1	YES
GCA_001874915.1	YES
GCA_002184285.1	YES
GCA_002136825.1	YES
GCA_002136855.1	YES
GCA_002184365.1	YES
GCA_002138055.1	YES
GCA_001706415.1	YES
GCA_002138345.1	YES
GCA_002143235.1	YES
GCA_002143495.1	YES
GCA_001874685.1	YES
GCA_002137425.1	YES
GCA_002138215.1	YES
GCA_002143625.1	YES
GCA_002145375.1	YES
GCA_002184275.1	YES
GCA_002184385.1	YES
GCA_001442575.1	YES
GCA_002137565.1	YES
GCA_002143685.1	YES
GCA_002136935.1	YES
GCA_003029495.1	YES
GCA_002137445.1	YES
GCA_002145195.1	YES
GCA_002143425.1	YES
GCA_002143375.1	YES
GCA_002184265.1	YES
GCA_002184335.1	YES
GCA_002137295.1	YES
GCA_002143555.1	YES
GCA_001444265.1	YES
GCA_002138375.1	YES
GCA_001441565.1	YES
GCA_002137185.1	YES
GCA_002143275.1	YES
GCA_001441455.1	YES
